id;name;firstname;lastname;image;salary;ayto_url;cv;assets;contact;linkedin_url;wikipedia_url
1111;María José;García;Pelayo;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/MJoseGarciaPelayo.jpg;Ayuntamiento = 74.135,35 Senado= 28.658,14 Total= 102.793,49  ;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/maria-jose-garcia-pelayo;Poco detallado;Poco detallada;Ninguno;;https://es.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Garc%C3%ADa-Pelayo_Jurado
11101;Agustin;Muñoz;Martín;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AgustinMunoz.jpg;57.867;https://transparencia.jerez.es/infopublica/institucional/corporacion/agustin-munoz;Completo;Poco detallada;Ninguno;;
102;Jaime ;Espinar ;Villar;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JaimaEspinar.jpg;57.868;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/jaime-espinar-villar;Poco detallado;Poco detallada;Ninguno;;
103;Susana;Sánchez;Toro;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/SusanaSanchez.jpg;57.869;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/susana-sanchez-toro;Completo;Medio;Ninguno;;
104;Antonio ;Real ;Granado;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AntonioReal.jpg;57.870;https://transparencia.jerez.es/infopublica/institucional/corporacion/2019-2023/antonio-montero-suarez;Poco detallado;Completa;Ninguno;;
105;José Ignacio;Martínez;Moreno;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JIgancioMartinez.jpg;46.294  80% dedicación;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/jose-ignacio-martinez-moreno;Resumido;Medio;Ninguno;https://www.linkedin.com/in/jos%C3%A9-ignacio-mart%C3%ADnez-moreno-68024a33/;
202;Belén ;de la Cuadra;Guerrero;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/BelenDeLaCuadra.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/belen-de-la-cuadra;Poco detallado;Completa;Ninguno;;
204;José Ángel;Aparicio;Hormigo;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JAngelAparicio.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/jangel-aparicio-hormigo;Completo;Completa;Ninguno;;
206;Carmen;Pina;Lorente;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/CarmenPina.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/carmen-pina-lorente;Completo;Poco detallada;Ninguno;;
207;Yessika ;Andreyna ;Quintero;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/YessicaQuintero.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/yessica-andreina-quintero;Completo;Poco detallada;Ninguno;https://www.linkedin.com/in/yessika-quintero-palma-51270b79/;
209;Francisco ;Zurita;Martín;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoZurita.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/francisco-zurita-martin;Completo;Poco detallada;Ninguno;https://www.linkedin.com/in/francisco-jos%C3%A9-zurita-mart%C3%ADn-568b7934/;
211;Francisco ;Delgado ;Aguilera;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoDelgado.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/francisco-delgado-aguilera;Actualizandose;Medio;Ninguno;;
212;Nela;García;Jarrillo;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/NelaGarcia.jpg;52.517;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/nela-garcia-jarillo;Completo;Poco detallada;Ninguno;;
2121;Almudena Marina ;Martínez;del Junco;https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AlmudenaMartinez.jpg;;https://transparencia.jerez.es/infopublica/institucional/corporacion/2023-2027/almudena-marina-martinez-del-junco;Poco detallado;Sin datos;Ninguno;;
